No,Kecamatan,Luas(Ha),Produksi(ton),Nilai(000)
1,Jatipuro,14.00,12.031,"269,081.095"
2,Jatiyoso,5.00,4.322,"96,677.830"
3,Jumapolo,9.80,8.420,"188,319.012"
4,Jumantono,6.30,5.448,"121,861.075"
5,Matesih,0.50,0.498,"11,132.286"
6,Tawangmangu,-,-,- 
7,Ngargoyoso,-,-,- 
8,Karangpandan,0.35,0.320,"7,154.624"
9,Karanganyar,12.00,11.019,"246,460.020"
10,Tasikmadu,2.12,1.829,"40,913.087"
11,Jaten,0.10,0.117,"2,608.726"
12,Colomadu,9.30,7.995,"178,813.951"
13,Gondangrejo,15.00,12.995,"290,653.386"
14,Kebakkramat,7.50,6.497,"145,313.779"
15,Mojogedang,4.00,3.449,"77,151.130"
16,Kerjo,-,-,-
17,Jenawi,-,-,-