Provinsi,2021,2022,2023
ACEH,11674.1,12014.96,15644.5
SUMATERA UTARA,13745.06,13859.09,15902.8
SUMATERA BARAT,21375.13,21514.66,31194.4
RIAU,8948.7,9127.69,10974.8
JAMBI,4638.46,5760.1,4920.9
SUMATERA SELATAN,13832.62,15458.87,12171.5
BENGKULU,4348.01,3329.27,3355.5
LAMPUNG,21130.03,21176.2,22895.2
KEP. BANGKA BELITUNG,3233.04,3395.04,3485.7
KEP. RIAU,1453.07,1390.39,1820.9
DKI JAKARTA,16381.81,17617.61,17664.8
JAWA BARAT,78134.54,84960.62,76287.2
JAWA TENGAH,65150.77,61393.95,65995.4
DI YOGYAKARTA,7830.73,7899.9,7998.2
JAWA TIMUR,108284.07,110991.18,102711.7
BANTEN,17933.48,17242.69,20754.6
BALI,4650.67,4694.03,4076
NUSA TENGGARA BARAT,11014.08,11159.01,10083.2
NUSA TENGGARA TIMUR,8176.8,8680.44,9395.6
KALIMANTAN BARAT,5119.52,5095.89,4726.1
KALIMANTAN TENGAH,3965.53,4113.87,4026.7
KALIMANTAN SELATAN,7328.53,7351.35,7892.4
KALIMANTAN TIMUR,7319.28,7465.56,7875.6
KALIMANTAN UTARA,808.02,895.57,891.6
SULAWESI UTARA,3103.44,3169.39,2032.2
SULAWESI TENGAH,5926.7,5967.2,5472.3
SULAWESI SELATAN,15366.14,16277.51,16181.3
SULAWESI TENGGARA,4522.93,4525.62,5213.8
GORONTALO,2899.38,2918.75,3137.5
SULAWESI BARAT,1636.87,1725.34,1358.5
MALUKU,2306.54,2308.12,2555.7
MALUKU UTARA,1300.92,1320.51,950.1
PAPUA BARAT,1832.35,1506.02,379.6
PAPUA BARAT DAYA,0,0,682.6
PAPUA,2430.88,2616.77,1150.9
PAPUA SELATAN,0,0,721.6
PAPUA TENGAH,0,0,710.8
PAPUA PEGUNUNGAN,0,0,214.4